# 収録を見送った受賞作とその理由(タイトル|著者|受賞|理由)
# 情報源が増えたらここから再開する。

## あらすじの出典がどこにもない(楽天ブックス・楽天Kobo・日英Wikipediaのいずれにも紹介文/plot節なし)
ヴィーナス・シティ|柾悟郎|星雲賞1993|あらすじの出典なし(Wikipedia記事なし・楽天/Kobo紹介文なし)
禅銃|ベイリー|星雲賞1985|あらすじの出典なし(原著年1983は英infoboxで確認済み)
さよならダイノサウルス|ソウヤー|星雲賞1997|あらすじの出典なし(原著年1994はWikidataで確認済み)
フレームシフト|ソウヤー|星雲賞2001|あらすじの出典なし(原著年1997はWikidataで確認済み)
笑い宇宙の旅芸人|かんべむさし|日本SF大賞1986|あらすじの出典なし
言壷|神林長平|日本SF大賞1995|あらすじの出典なし
フェアリイ・ランド|ポール・J・マコーリイ|クラーク賞1996|あらすじの出典なし(英語版に記事なし)
世界を変える日に|ジェイン・ロジャーズ|クラーク賞2012|あらすじの出典なし
4000億の星の群れ|ポール・J・マコーリイ|PKD賞1989|あらすじの出典なし
黎明の王 白昼の女王|イアン・マクドナルド|PKD賞1992|あらすじの出典なし
ウォー・サーフ|M・M・バックナー|PKD賞2006|あらすじの出典なし
シリンダー世界111|アダム＝トロイ・カストロ|PKD賞2009|あらすじの出典なし
エラスムスの迷宮|C・L・アンダースン|PKD賞2010|あらすじの出典なし
バネ足ジャックと時空の罠|マーク・ホダー|PKD賞2011|あらすじの出典なし
ラブスター博士の最後の発見|アンドリ・S・マグナソン|PKD特別賞2013|あらすじの出典なし

KI.DO.U|杉本蓮|日本SF新人賞1999佳作|あらすじの出典なし
歩兵型戦闘車両ダブルオー|坂本康宏|日本SF新人賞2001佳作|あらすじの出典なし
ルナ Orphan's trouble|三島浩司|日本SF新人賞2002|あらすじの出典なし
ゴーディーサンディー|照下土竜|日本SF新人賞2004|あらすじの出典なし
プシスファイラ|天野邊|日本SF新人賞2008|あらすじの出典なし
エリ・エリ|平谷美樹|小松左京賞2000|あらすじの出典なし
神の血脈|伊藤致雄|小松左京賞2005|あらすじの出典なし
セカンドムーン|上杉那郎|小松左京賞2007|あらすじの出典なし
ラヴィン・ザ・キューブ|森深紅|小松左京賞2008|あらすじの出典なし

クリスタルサイレンス|藤崎慎吾|ベストSF1999 国内篇1位|あらすじの出典なし
あなたのための物語|長谷敏司|ベストSF2009 国内篇2位|あらすじの出典なし
希望|瀬名秀明|ベストSF2011 国内篇2位|あらすじの出典なし
スタープレックス|ロバート・J・ソウヤー|ベストSF1999 海外篇2位|あらすじの出典なし
蒸気駆動の少年|ジョン・スラデック|ベストSF2008 海外篇2位|あらすじの出典なし
洋梨形の男|ジョージ・R・R・マーティン|ベストSF2009 海外篇3位|あらすじの出典なし
プランク・ダイヴ|グレッグ・イーガン|ベストSF2011 海外篇1位|あらすじの出典なし
円 劉慈欣短篇集|劉慈欣|ベストSF2022 海外篇3位|あらすじの出典なし

## 原著発表年を確認できない
夜の翼|シルヴァーバーグ|星雲賞1972|原著年・あらすじとも出典なし
マッカンドルー航宙記|シェフィールド|星雲賞1992|原著年・あらすじとも出典なし

## 邦訳が存在しない(Wikipediaの受賞表にある『』は仮訳。NDL・楽天のいずれにも書誌なし)
沈みゆく塔|ジョージ・ターナー|クラーク賞1988|邦訳なし
消えない火|レイチェル・ポラック|クラーク賞1989|邦訳なし
ドリーミング・イン・スモーク|トリシア・サリバン|クラーク賞1999|邦訳なし
エルヴィシー|ジャック・ウォマック|PKD賞1994|邦訳なし

## 書籍として刊行されていない / 書誌を確認できない
戦域軍ケージュン部隊|木立嶺|日本SF新人賞2006佳作|NDL・楽天のいずれにも書誌がない
